package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2026-01-22 08:10,mixed,1924,775,66,1280,0.3771289537712895,0.6228710462287105,0.9668341708542714,0.712856613560578,0.8206440605672851,0:00:14
asreview,2026-01-22 08:10,mixed,1938,812,52,1243,0.3951338199513381,0.6048661800486618,0.9738693467336684,0.7047272727272728,0.8177215189873418,0:00:00
buhos,2026-01-22 08:14,mixed,368,708,1622,1347,0.3445255474452555,0.6554744525547446,0.1849246231155779,0.3420074349442379,0.2400521852576647,0:03:15
bib-dedupe,2026-01-23 11:32,mixed,1924,1375,69,1414,0.493008246683399,0.506991753316601,0.9653788258906172,0.5832070324340709,0.7271352985638699,0:00:17
asreview,2026-01-23 11:32,mixed,1946,1105,47,1684,0.3961993546073861,0.6038006453926138,0.9764174611138986,0.637823664372337,0.7716098334655036,0:00:00
buhos,2026-01-23 11:37,mixed,361,731,1632,2058,0.2621011115095016,0.7378988884904983,0.1811339688911189,0.3305860805860806,0.23403565640194487,0:04:38
