cluster_id,id,title,author,doi
0,P_0000000289,Challenges in learning and improving continuously,"Te'eni, Dov",10.1057/EJIS.2014.37
0,P_0000000659,Challenges in learning and improving continuously,"Te'eni, Dov",10.1057/EJIS.2014.37
1,P_0000000402,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing grupo Santander's acquisition of abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2014.38
1,P_0000000869,Discovery paths: exploring emergence and IT evolutionary design in cross-border M&As. Analysing grupo Santander's acquisition of abbey (2004-2009),"Busquets, Javier",10.1057/EJIS.2015.3
