package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2026-01-23 11:28,pdf_only,0,13,0,1185,0.0108514190317195,0.9891485809682804,0.0,0.0,0.0,0:00:03
asreview,2026-01-23 11:28,pdf_only,0,45,0,1153,0.0375626043405676,0.9624373956594324,0.0,0.0,0.0,0:00:00
buhos,2026-01-23 11:28,pdf_only,0,1,0,1197,0.0008347245409015025,0.9991652754590985,0.0,0.0,0.0,0:00:02
