dataset,time,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
baseline,2026-01-23 17:40,870,1,3,936,0.0010672358591248,0.9989327641408752,0.9965635738831616,0.9988518943742823,0.9977064220183488,0:00:14
pdf_only,2026-01-23 17:41,7,138,6,777,0.1508196721311475,0.8491803278688524,0.5384615384615384,0.0482758620689655,0.0886075949367088,0:00:10
mixed,2026-01-23 17:41,1539,5,251,943,0.0052742616033755,0.9947257383966244,0.8597765363128491,0.996761658031088,0.9232153569286142,0:00:18
pdf_only,2026-01-24 15:30,7,138,6,777,0.1508196721311475,0.8491803278688524,0.5384615384615384,0.0482758620689655,0.0886075949367088,0:00:06
pdf_only,2026-01-24 15:45,6,2,7,913,0.0021857923497267,0.9978142076502732,0.4615384615384615,0.75,0.5714285714285714,0:00:05
pdf_only,2026-01-24 15:47,6,2,7,913,0.0021857923497267,0.9978142076502732,0.4615384615384615,0.75,0.5714285714285714,0:00:05
pdf_only,2026-01-25 10:21,6,0,7,915,0.0,1.0,0.46153846153846156,1.0,0.631578947368421,0:00:06
