cluster,ID,title,author,number,volume,journal,grobid-version,file,ENTRYTYPE,year,doi,note,__orig_index
39,0000000388,Journal of the Association for Information,"Rivard, Suzanne and Montreal, Hec and Lapointe, Liette and Kappos, Antonio and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",2,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_2/RivardLapointeKappos2011.pdf,article,,,,375
39,0000000523,Journal of the Association for Information,"Singh, Rajendra and Mathiassen, Lars and Stachura, Max E and Astapova, Elena V and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",2,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_2/SinghMathiassenStachuraEtAl2011.pdf,article,,,,506
39,0000000588,Journal of the Association for Information,"Feldman, Sue S and Horan, Thomas A and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",2,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_2/FeldmanHoran2011.pdf,article,2011,,,569
39,0000000621,Journal of the Association for Information,"Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu and Considerations, Interdisciplinary",2,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_2/PaytonPareLeRougeEtAl2011.pdf,article,,,,601
40,0000000488,Journal of the Association for Information,"Goldstein, James and Chernobai, Anna and Benaroch, Michel and Whitman, M. J",9,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_9/GoldsteinChernobaiBenaroch2011.pdf,article,,,,472
40,0000000644,Journal of the Association for Information,"Evermann, Joerg and Tate, Mary",9,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_9/EvermannTate2011.pdf,article,,,,624
41,0000000020,Journal of the Association for Information,"Kirsch, Laurie J and Slaughter, Sandra A",4,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_4/KirschSlaughter2013.pdf,article,,,,17
41,0000000071,Journal of the Association for Information,"King, John Leslie and Nicholas, *.",4,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_4/King2013.pdf,article,,,,68
41,0000000534,Journal of the Association for Information Special Issue,"Beath, Cynthia and Berente, Nicholas and Gallivan, Michael J and Lyytinen, Kalle",4,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_4/BeathBerenteGallivanEtAl2013.pdf,article,,,,517
41,0000000619,Journal of the Association for Information,"Nambisan, Satish",4,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_4/Nambisan2013.pdf,article,,,,599
42,0000000151,Journal of the Association for Information,"Parsons, Jeffrey and Wand, Yair",5,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_5/ParsonsWand2013.pdf,article,,,,147
42,0000000178,Journal of the Association for Information,"Grover, Varun and Nicholas, *.",5,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_5/Grover2013.pdf,article,,,,171
42,0000000313,Journal of the Association for Information,"Yoo, Youngjin",5,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_5/Yoo2013.pdf,article,,,,301
42,0000000695,Journal of the Association for Information,"Osterwalder, Alexander and Pigneur, Yves and Nicholas, *.",5,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_5/OsterwalderPigneur2013.pdf,article,,,,674
43,0000000171,Journal of the Association for Information,"Javadi, Elahe and Gebauer, Judith and Mahoney, Joseph",1,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_1/JavadiGebauerMahoney2013.pdf,article,,,,164
43,0000000515,Journal of the Association for Information,"Eryilmaz, Evren and Ryan, Terry and Van Der Pol, Jakko and Kasemvilas, Sumonta and Mary, Justin",1,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_1/EryilmazRyanvanderPolEtAl2013.pdf,article,,,,498
44,0000000508,Journal of the Association for Information,"Alter, Steven",2,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_2/Alter2013.pdf,article,,,,491
44,0000000693,Journal of the Association for Information,"Sun, Yongqiang and Lim, Kai H and Peng, Jerry Zeyu and Kong, Hong and He",2,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_2/SunLimPeng2013.pdf,article,,,,672
45,0000000512,Journal of the Association for Information,"Shuraida, Shadi and Barki, Henri and Bernard, *.",9,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_9/ShuraidaBarki2013.pdf,article,,,,495
45,0000000623,Journal of the Association for Information,"Hansen, Jared and Walden, Eric and Paul, *.",9,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_9/HansenWalden2013.pdf,article,,,,603
46,0000000587,Journal of the Association for Information,"Junglas, Iris and Goel, Lakshmi and Abraham, Chon and Ives, Blake",10,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_10/JunglasGoelAbrahamEtAl2013.pdf,article,,,,568
46,0000000648,Journal of the Association for Information,"Rowe, Frantz",10,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_10/deCorbiereRowe2013.pdf,article,,,,628
47,0000000670,Journal of the Association for Information,"Figl, Kathrin and Mendling, Jan and Strembeck, Mark",6,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_6/FiglMendlingStrembeck2013.pdf,article,,,,649
47,0000000682,Journal of the Association for Information,"Vessey, Iris and Ward, Kerry",6,14,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/14_6/VesseyWard2013.pdf,article,,,,661
48,0000000203,Journa I of the Association for Information Systems,"Social, A. and View, Constructionist and Kie, Siew and Sia and Yeow, Adrian",6,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_6/LimSiaYeow2011.pdf,article,,,,196
48,0000000713,Journa I of the Association for Information Systems,"Parsons, Jeffrey",6,12,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/12_6/Parsons2011.pdf,article,,,,692
49,0000000565,Journal of the Association for Information Systems IS Research Perspective,"Marakas, George M and Johnson, Richard D and Clay, Paul F",9,9,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/9_9/MarakasJohnsonClay2008.pdf,article,,,,547
49,0000000704,Journal of the Association for Information Systems IS Research Perspective,"Hardin, Andrew M and Cha, Jerry and Chang, Jan and Fuller, Mark A",9,9,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/9_9/HardinChangFuller2008.pdf,article,,,,683
50,0000000185,Journal of the Association for Information,"Tan, Barney and Pan, Shan L and Lu, Xianghua and Huang, Lihua and Quarterly, Mis",4,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_4/TanPanLuEtAl2015.pdf,article,,,,178
50,0000000472,Journal of the Association for Information Research Article,"Dinger, Michael and Thatcher, Jason B and Treadway, Darren and Stepina, Lee and Breland, Jacob",4,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_4/DingerThatcherTreadwayEtAl2015.pdf,article,,,,456
50,0000000723,Journal of the Association for Information,"Cranefield, Jocelyn and Yoong, Pak and Huff, Sid L",4,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_4/CranefieldYoongHuff2015.pdf,article,,,,701
51,0000000229,Journal of the Association for Information,"Yang, Xue and Tong, Yu and Hock, Hai and Teo",11,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_11/YangTongTeo2015.pdf,article,,,,221
51,0000000460,Journal of the Association for Information,"Chiu, Chao-Min and Fang, Yu-Hui and Wang, Eric T G and Simon, William E",11,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_11/ChiuFangWang2015.pdf,article,,,,444
52,0000000298,Journal of the Association for Information,"Choi, Namjoo and Nevo, Saggi",8,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_8/ChoiChengalurSmithNevo2015.pdf,article,,,,287
52,0000000458,Journal of the Association for Information,"Liu, Gloria H W and Wang, Eric and Eng, Cecil and Chua, Huang",8,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_8/LiuWangChua2015.pdf,article,,,,442
53,0000000308,Journal of the Association for Information,"Galluch, Pamela S and Grover, Varun and Thatcher, Jason Bennett",1,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_1/GalluchGroverThatcher2015.pdf,article,,,,297
53,0000000684,Journal of the Association for Information,"Kuan, Kevin K Y and Hui, Kai-Lung and Paul, *. and Prasarnphanich, Pattarawan and Lai, Hok-Yin",1,16,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/16_1/KuanHuiPrasarnphanichEtAl2015.pdf,article,,,,663
54,0000000017,Journal of the Association for Information,"Chan, Frank K Y and Thong, James Y L and Venkatesh, Viswanath and Brown, Susan A and Paul, Jen-Hwa and Hu and Kar, Yan and Tam and Bernard, *.",10,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_10/ChanThongVenkateshEtAl2010.pdf,article,,,,14
54,0000000490,Journal of the Association for Information,"Loo, Geok and Pee and Kankanhalli, Atreyi and Kim, Hee-Woong and Grover, Varun and Niederman, Fred and Bush, Ashley and Bateman, Patrick",10,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_10/PeeKankanhalliKim2010.pdf,article,,,,474
55,0000000063,Journal of the Association for Information,"Crowston, Kevin and Wade, Michael",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/CrowstonWade2010.pdf,article,,,,60
55,0000000094,Journal of the Association for Information,"Alspaugh, Thomas A and Scacchi, Walt and Asuncion, Hazeline U and Wade, Michael and Crowston, Kevin",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/AlspaughScacchiAsuncion2010.pdf,article,,,,91
55,0000000255,Journal of the Association for Information,"Maldonado, Edgar",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/Maldonado2010.pdf,article,,,,245
55,0000000375,Journal of the Association for Information,"Nevo, Saggi and Demertzoglou, Pindaro and Wade, Michael and Crowston, Kevin and Chengalur-Smith, Indushobha",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/ChengalurSmithNevoDemertzoglou2010.pdf,article,,,,362
55,0000000440,Journal of the Association for Information,"Sidorova, Anna and Daniel, Sherae and Chengalur-Smith, Indushobha",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/ChengalurSmithSidorovaDaniel2010.pdf,article,,,,426
55,0000000542,Journal of the Association for Information,"Aksulu, Altay and Wade, Michael R",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/AksuluWade2010.pdf,article,,,,524
55,0000000630,Journal of the Association for Information,"Colazo, Jorge A and Fang, Yulin",11,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_11/ColazoFang2010.pdf,article,,,,610
56,0000000105,Journal of the Association for Information,"Sojer, Manuel and Henkel, Joachim and Wade, Michael and Crowston, Kevin",12,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_12/SojerHenkel2010.pdf,article,,,,102
56,0000000273,Journal of the Association for Information,"Cornford, Tony and Shaikh, Maha and Ciborra, Claudio and Wade, Michael and Crowston, Kevin",12,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_12/CornfordShaikhCiborra2010.pdf,article,,,,262
56,0000000372,Journal of the Association for Information,"Eng, Cecil and Chua, Huang and Yong, Adrian and Yeow, Kwang and Wade, Michael and Crowston, Kevin",12,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_12/HuangYeow2010.pdf,article,,,,359
56,0000000506,Journal of the Association for Information,"Bach, Paula M and Carroll, John M and Wade, Michael and Crowston, Kevin",12,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_12/BachCarroll2010.pdf,article,,,,489
56,0000000636,Journal of the Association for Information,"Zhang, Ping",12,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_12/KeZhang2010.pdf,article,,,,616
57,0000000268,Journal of the Association for Information,"Ridings, Catherine and Wasko, Molly",2,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_2/RidingsWasko2010.pdf,article,,,,257
57,0000000437,Journal of the Association for Information,"Oinas-Kukkonen, Harri and Lyytinen, Kalle and Yoo, Youngjin",2,11,Journal of the Association for Information Systems,lfoppiano/grobid:0.8.1,data/pdfs/11_2/OinasKukkonenLyytinenYoo2010.pdf,article,,,,423
