cluster,ID,title,author,dblp_key,url,number,volume,year,journal,ENTRYTYPE,doi,pages,__orig_index
1,000305,Team Collaboration in Virtual Worlds - Editorial to the Special Issue,"Boughzala, Imed and de Vreede, Gert-Jan and Limayem, Moez",https://dblp.org/rec/journals/jais/BoughzalaVL12,http://aisel.aisnet.org/jais/vol13/iss10/6,10,13,2012,Journal of the Association for Information Systems,article,,,304
1,000306,Team Collaboration in Virtual Worlds - Introduction to the Special Issue,"Boughzala, Imed and de Vreede, Gert-Jan and Limayem, Moez",https://dblp.org/rec/journals/jais/BoughzalaVL12a,http://aisel.aisnet.org/jais/vol13/iss10/7,10,13,2012,Journal of the Association for Information Systems,article,,,305
2,000125,Quo vadis TAM?,"Benbasat, Izak and Barki, Henri",https://dblp.org/rec/journals/jais/BenbasatB07,http://aisel.aisnet.org/jais/vol8/iss4/16,4,8,2007,Journal of the Association for Information Systems,article,,,124
2,000132,"Introduction to the Special Issue on ""Quo Vadis TAM - Issues and Reflections on Technology Acceptance Research""","Hirschheim, Rudy",https://dblp.org/rec/journals/jais/Hirschheim07,http://aisel.aisnet.org/jais/vol8/iss4/18,4,8,2007,Journal of the Association for Information Systems,article,,,131
