merged_ids
C_000001;D_000395;P_0000000152
D_000968
P_001254
C_000002;D_000589;P_0000000935
P_0000000284
D_000969
D_001061
C_000003;D_000629;P_0000001121
C_000004;D_000439;P_0000000863
D_000980
P_0000000797
C_000005;D_000240;P_0000000554
C_000007;D_000385;P_0000000545
C_000006;D_000894;P_0000000448
P_0000001163
P_0000000257
C_000008;D_000476;P_0000001169
C_000009;D_000620;P_0000000588
C_000010;D_000662;P_0000001173
C_000011;D_000813;P_0000000004
C_000012;D_000814;P_0000000748
C_000013;D_000850;P_0000000536
C_000014;D_000887;P_0000000785
C_000015;D_000884;P_0000000278
C_000016;D_000145;P_0000000696
C_000017;D_000236;P_0000000101
C_000018;D_000883;P_0000001188
C_000019;D_000815;P_0000000193
C_000020;D_000080;P_0000000191
C_000021;D_000087;P_0000000609
C_000024;D_000088;P_0000000057
C_000022;D_000505;P_0000000825
C_000025;D_000025
C_000026;D_000026
C_000027;D_000062
C_000028;D_000061;P_0000001232
C_000029;D_000117;P_0000000361;P_0000000531
C_000030;D_000126;P_0000000040
C_000031;D_000118
C_000032;D_000792;P_0000000156
P_0000000770
C_000033;D_000671;P_0000001048
D_000089;P_0000000808
C_000034;D_000482;P_0000000777
C_000023;D_000060;P_0000000534
C_000035;D_000063
C_000036;D_000146;P_0000000447
C_000037;D_000370;P_0000001208
C_000038;D_000644;P_0000000425
C_000039;D_000895;P_0000000065
C_000040;D_000268
P_0000000579
C_000041;D_000756;P_0000000586
P_0000001234
P_0000000874
P_0000000722
P_0000000583
P_0000000968
P_0000000511
P_0000000671
P_0000000880
C_000042;D_000845
C_000043;D_000881
P_001261
P_001262
C_000044;D_000483
C_000045;D_000155;P_0000001080
C_000046;D_000119;P_0000000037
C_000047;D_000376;P_0000000919
P_0000000115
C_000048;D_000004;P_0000000646
C_000049;D_000763;P_0000000584
P_0000000779
C_000963
P_0000000530
P_0000001014
P_0000000488
P_0000001091
C_000050;D_000127
C_000051;D_000241;P_0000001100
P_0000000426
C_000052;D_000775;P_0000001084
P_0000000838
D_001014
C_000053;D_000781;P_0000000093
C_000958
C_000054;D_000386;P_0000000656
C_000055;D_000599;P_0000000789
C_000056;D_000440;P_0000000479
C_000057;D_000825;P_0000000964
P_0000000962
C_000058;D_000018
C_000059;D_000929;P_0000001215
C_000060;D_000120;P_0000000537
D_001048
C_000061;D_000722;P_0000000810
C_000062;D_000888;P_0000001108
C_000063;D_000933;P_0000000443
C_000064;D_000043;P_0000000894
P_0000001035
C_000065;D_000201;P_0000000036
C_000066;D_000484;P_0000000885
C_000067;D_000723;P_0000001107
C_000068;D_000949;P_0000000832
C_000069;D_000724;P_0000000483
P_0000000569
C_000070;D_000160;P_0000000288
C_000964
D_001069
C_000071;D_000915;P_0000001156
C_000072;D_000371;P_0000000355
C_000073;D_000555;P_0000000085
P_0000000092
C_000074;D_000161;P_0000000419
C_000075;D_000269;P_0000001031
C_000076;D_000397;P_0000000883
C_000077;D_000399;P_0000000124
C_000078;D_000396;P_0000000291
C_000079;D_000387;P_0000000936
C_000080;D_000398;P_0000000431
C_000081;D_000377;P_0000001072
C_000082;D_000453;P_0000000633
C_000083;D_000452;P_0000000780
C_000084;D_000485;P_0000000038
C_000085;D_000530;P_0000001078
C_000086;D_000540;P_0000000125
C_000087;D_000600;P_0000000953
C_000088;D_000831;P_0000000559
C_000089;D_000521;P_0000000394
P_0000000739
P_0000000582
D_001004
C_000973
P_0000000680
P_0000000960
P_0000000567
P_0000000572
C_000090;D_000757;P_0000000763
D_001053
D_001006
C_000975
P_0000000095
D_001062
C_000091;D_000832;P_0000000843
C_000092;D_000851;P_0000001047
C_000093;D_000916;P_0000001024
C_000094;D_000577;P_0000000760
C_001001
C_000095;D_000556;P_0000000055
P_0000000743
C_000096;D_000917;P_0000000238
C_000097;D_000866;P_0000000393
C_000098;D_000486;P_0000000390
C_000099;D_000487;P_0000000741
C_000101;D_000027
C_000102;D_000019
C_000100;D_000441;P_0000000131
P_0000000323
C_000103;D_000645;P_0000000794
P_0000000270
C_000104;D_000477;P_0000001011
C_000105;D_000816;P_0000000162
P_0000001235
P_0000000549
C_000106;D_000506;P_0000000691
C_000107;D_000162;P_0000001037
C_000108;D_000141;P_0000000518
C_000109;D_000808;P_0000001226
C_000110;D_000328;P_0000000931
C_000111;D_000725;P_0000001118
C_000112;D_000686;P_0000000750
C_000113;D_000601;P_0000000811
C_000114;D_000621;P_0000000778
C_000115;D_000454;P_0000000293
P_0000000019
C_000116;D_000488;P_0000000339
C_000117;D_000238;P_0000001076
P_0000000497
C_000118;D_000270;P_0000000274
C_000119;D_000793;P_0000000161
C_000120;D_000867;P_0000000159
C_000121;D_000173;P_0000000464
C_000122;D_000773;P_0000000657
C_000123;D_000254;P_0000000827
C_000124;D_000128;P_0000001034
C_000125;D_000400;P_0000000851
C_000126;D_000833;P_0000000181
C_000127;D_000271;P_0000000386
C_000128;D_000455;P_0000000730
C_000129;D_000424;P_0000000998
C_000130;D_000202;P_0000000023
C_000131;D_000809;P_0000000870
C_000955
D_001012
C_000132;D_000896;P_0000000480
C_000133;D_000102;P_0000000039
C_000134;D_000557;P_0000000373
P_0000001192
P_0000001199
P_0000000576
C_000135;D_000020
C_000136;D_000021
C_000137;D_000147;P_0000001191
C_000138;D_000081;P_0000001040
C_000139;D_000764;P_0000001170
C_000140;D_000541;P_0000000605
D_001049
P_0000000516
C_000141;D_000372;P_0000000205
