cluster_id,id,title,author,doi,file
53,P_0000000334,Journal of the Association for Information Systems Abstract Special Issue,"Legner, Christine and Schemm, Jan and March, Sal and Raghu, T. S and Vinze, Ajay",,data/pdfs/9_4/SchemmLegner2008.pdf
53,P_0000000450,Journal of the Association for Information Systems Special Issue,"March, Sal and Raghu, T. S and Carey, W. P and Vinze, Ajay",,data/pdfs/9_4/VinzeMarchRaghu2008.pdf
54,P_0000000260,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Lee, Younghwa and Chen, Andrew N K and Hess, Traci J and Quarterly, Mis",,data/pdfs/18_3/LeeChenHess2017.pdf
54,P_0000000442,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Müller, Sune Dueholm and Mathiassen, Lars and Saunders, Carol S and Franke, W. A and Kraemmergaard, Pernille",,data/pdfs/18_3/MullerMathiassenSaundersEtAl2017.pdf
54,P_0000000604,J ournal of the A I S ssociation for nformation ystems,"Lyytinen, Kalle and Grover, Varun",,data/pdfs/18_3/LyytinenGrover2017.pdf
55,P_0000000512,Journal of the Association for Information,"Shuraida, Shadi and Barki, Henri and Bernard, *.",,data/pdfs/14_9/ShuraidaBarki2013.pdf
55,P_0000000623,Journal of the Association for Information,"Hansen, Jared and Walden, Eric and Paul, *.",,data/pdfs/14_9/HansenWalden2013.pdf
56,P_0000000448,Journal of the Association for Information,"Wang, Chingning and Kaarst-Brown, Michelle L",,data/pdfs/15_3/WangKaarstBrown2014.pdf
56,P_0000000728,Journal of the Association for Information,"Klecun, Ela and Lichtner, Valentina and Cornford, Tony and Petrakaki, Dimitra",,data/pdfs/15_3/KlecunLichtnerCornfordEtAl2014.pdf
57,P_0000000162,Journal of the Association for Information,"Stahl, Bernd Carsten",,data/pdfs/13_8/Stahl2012.pdf
57,P_0000000223,Journal of the Association for Information,"Man, Cindy and Cheung, Yee and Sia, Choon-Ling and Kuan, Kevin K Y and Choon, Ling and Sia",,data/pdfs/13_8/CheungSiaKuan2012.pdf
58,P_0000000073,Journal of the Association for Information,"Xu, David and Benbasat, Izak and Cenfetelli, Ronald T and Srinivasan, Ananth",,data/pdfs/12_11/XuBenbasatCenfetelli2011.pdf
58,P_0000000169,Journal of the Association for Information,"Müller-Wienbergen, Felix and Müller, Oliver and Seidel, Stefan and Becker, Jörg",,data/pdfs/12_11/MullerWienbergenMullerSeidelEtAl2011.pdf
59,P_0000000040,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Kulkarni, Uday R and Robles-Flores, José Antonio and Popovič, Aleš and Antonio, José",,data/pdfs/18_7/KulkarniRoblesFloresPopovic2017.pdf
59,P_0000000391,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Crossler, Robert E and Posey, Clay",,data/pdfs/18_7/CrosslerPosey2017.pdf
60,P_0000000308,Journal of the Association for Information,"Galluch, Pamela S and Grover, Varun and Thatcher, Jason Bennett",,data/pdfs/16_1/GalluchGroverThatcher2015.pdf
60,P_0000000684,Journal of the Association for Information,"Kuan, Kevin K Y and Hui, Kai-Lung and Paul, *. and Prasarnphanich, Pattarawan and Lai, Hok-Yin",,data/pdfs/16_1/KuanHuiPrasarnphanichEtAl2015.pdf
61,P_0000000023,Journal of the Association for Information,"Torkar, Richard and Minoves, Pau and Garrigós, Janina and Wade, Michael and Crowston, Kevin",,data/pdfs/12_1/TorkarMinovesGarrigos2011.pdf
61,P_0000000085,Journal of the Association for Information Abstract Research Article,"Santos, Brian L Dos and Patel, Pankaj C and D'souza, Rodney R",,data/pdfs/12_1/DosSantosPatelDSouza2011.pdf
61,P_0000000530,Journal of the Association for Information Abstract Research Article,"Li, Xiaolin and Troutt, Marvin D and Brandyberry, Alan and Wang, Tuo and Katz, Joseph M",,data/pdfs/12_1/LiTrouttBrandyberryEtAl2011.pdf
61,P_0000000566,Journal of the Association for Information Abstract Research Article,"Wells, John D and Parboteeah, Veena and Valacich, Joseph S",,data/pdfs/12_1/WellsParboteeahValacich2011.pdf
62,P_0000000065,Journal of the Association for Information,"Germonprez, Matt and Hovorka, Dirk and Gal, Uri",,data/pdfs/12_10/GermonprezHovorkaGal2011.pdf
62,P_0000000356,Journal of the Association for Information,"Kock, Ned and Chatelain-Jardón, Ruth",,data/pdfs/12_10/KockChatelainJardon2011.pdf
63,P_0000000023,Journal of the Association for Information,"Torkar, Richard and Minoves, Pau and Garrigós, Janina and Wade, Michael and Crowston, Kevin",,data/pdfs/12_1/TorkarMinovesGarrigos2011.pdf
63,P_0000000085,Journal of the Association for Information Abstract Research Article,"Santos, Brian L Dos and Patel, Pankaj C and D'souza, Rodney R",,data/pdfs/12_1/DosSantosPatelDSouza2011.pdf
64,P_0000000021,Journal of the Association for Information,"Al-Natour, Sameh and Benbasat, Izak and Cenfetelli, Ron",,data/pdfs/12_5/AlNatourBenbasatCenfetelli2011.pdf
64,P_0000000359,Journal of the Association for Information Abstract Research Article,"Balijepally, Venugopal and Mangalaraj, George and Iyengar, Kishen",,data/pdfs/12_5/BalijepallyMangalarajIyengar2011.pdf
65,P_0000000016,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Khatri, Vijay and Vessey, Iris",,data/pdfs/17_12/KhatriVessey2016.pdf
65,P_0000000612,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Vitharana, Padmal and Zahedi, Fatemeh Mariam and Jain, Hemant K",,data/pdfs/17_12/VitharanaZahediJain2016.pdf
66,P_0000000509,Journal of the Association for Information,"Lankton, Nancy K and Mcknight, Harrison D and Bernard, *. and Harrison, D.",,data/pdfs/13_2/LanktonMcKnight2012.pdf
66,P_0000000730,Journal of the Association for Information,"Li, Linjing and Zeng, Daniel and Zhao, Huimin",,data/pdfs/13_2/LiZengZhao2012.pdf
67,P_0000000084,Journal of the Association for Information,"Richardson, Sandra and Kettinger, William J and Banks, Michael Shane and Quintana, Yuri",,data/pdfs/15_1/RichardsonKettingerBanksEtAl2014.pdf
67,P_0000000379,Journal of the Association for Information,"Legoux, Renaud and Montreal, Hec and Leger, Pierre-Majorique and Robert, Jacques and Boyer, Martin and Gregor, Shirley",,data/pdfs/15_1/LegouxLegerRobertEtAl2014.pdf
68,P_0000000203,Journa I of the Association for Information Systems,"Social, A. and View, Constructionist and Kie, Siew and Sia and Yeow, Adrian",,data/pdfs/12_6/LimSiaYeow2011.pdf
68,P_0000000713,Journa I of the Association for Information Systems,"Parsons, Jeffrey",,data/pdfs/12_6/Parsons2011.pdf
69,P_0000000230,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Mohan, Blooma and Yeow, Alton and Chua, Kuan and Hoe, Dion and Goh, Lian and Wickramasinghe, Nilmini and Chua, Alton Y K and Goh, Dion",,data/pdfs/17_9/JohnChuaGohEtAl2016.pdf
69,P_0000000319,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Tallon, Paul P and Huntsman, Jon M and Coltman, Tim and Sharma, Rajeev and Queiroz, Magno and South, Wales and Rajeev",,data/pdfs/17_9/TallonQueirozColtmanEtAl2016.pdf
69,P_0000000415,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Brown, Susan A and Fuller, Robert M and Thatcher, Sherry M B",,data/pdfs/17_9/BrownFullerThatcher2016.pdf
70,P_0000000328,Journal of the Association for Information Research Article,"Parsons, Jeffrey and Ralph, Paul",,data/pdfs/15_8/ParsonsRalph2014.pdf
70,P_0000000573,Journal of the Association for Information Research Article,"Watson, Richard T",,data/pdfs/15_8/Watson2014.pdf
70,P_0000000594,Journal of the Association for Information Research Article,"Wang, Weiquan and Zhao, Yi and Qiu, Lingyun and Fui-Hoon, Fiona and Zhu, Yan",,data/pdfs/15_8/WangZhaoQiuEtAl2014.pdf
71,P_0000000309,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Hong, Yili and Huang, Ni and Burtch, Gord and Li, Chunxiao",,data/pdfs/17_11/HongHuangBurtchEtAl2016.pdf
71,P_0000000584,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wang, Jingguo and Li, Yuan and Rao, H. Raghav",,data/pdfs/17_11/WangLiRao2016.pdf
72,P_0000000256,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Van Looy, Amy and Poels, Geert and Snoeck, Monique and Leuven, K. U",,data/pdfs/18_6/VanLooyPoelsSnoeck2017.pdf
72,P_0000000487,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Liang, Huigang and Xue, Yajiong and Zhang, Zhiruo",,data/pdfs/18_6/LiangXueZhang2017.pdf
73,P_0000000370,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Bernardi, Roberta",,data/pdfs/18_12/Bernardi2017.pdf
73,P_0000000395,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Holeman, Isaac and Barrett, Michael",,data/pdfs/18_12/HolemanBarrett2017.pdf
74,P_0000000106,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Park, Youngki and Sawy, Omar A El and Fiss, Peer C",,data/pdfs/18_9/ParkSawyFiss2017.pdf
74,P_0000000434,J ournal of the A I S ssociation for nformation ystems,"Saunders, Carol and Brown, Susan A and Bygstad, Bendik and Dennis, Alan R and Ferran, Carlos and Galletta, Dennis and Katz, Joseph M and Liang, Ting-Peng and Lowry, Paul Benjamin and Recker, Jan and Sarker, Suprateek",,data/pdfs/18_9/SaundersBrownBygstadEtAl2017.pdf
75,P_0000000281,Journal of the Association for Information Abstract Research Perspective,"Niederman, Fred and March, Salvatore and Gregor, Shirley",,data/pdfs/15_6/NiedermanMarch2014.pdf
75,P_0000000677,Journal of the Association for Information,"Rosenkranz, Christoph and Vranešić, Helena and Holten, Roland",,data/pdfs/15_6/RosenkranzVranesicHolten2014.pdf
76,P_0000000272,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Sun, Heshan and Fang, Yulin and Zou, Melody",,data/pdfs/17_6/SunFangZou2016.pdf
76,P_0000000703,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Gaskin, James Eric and Lowry, Paul Benjamin and Hull, David M",,data/pdfs/17_6/GaskinLowryHull2016.pdf
77,P_0000000171,Journal of the Association for Information,"Javadi, Elahe and Gebauer, Judith and Mahoney, Joseph",,data/pdfs/14_1/JavadiGebauerMahoney2013.pdf
77,P_0000000515,Journal of the Association for Information,"Eryilmaz, Evren and Ryan, Terry and Van Der Pol, Jakko and Kasemvilas, Sumonta and Mary, Justin",,data/pdfs/14_1/EryilmazRyanvanderPolEtAl2013.pdf
78,P_0000000212,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Venkatesh, Viswanath and Thong, James Y L and Xu, Xin",,data/pdfs/17_5/VenkateshThongXu2016.pdf
78,P_0000000702,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Luo, Jifeng and Fan, Ming and Zhang, Han",,data/pdfs/17_5/LuoFanZhang2016.pdf
79,P_0000000447,Journal of the Association for Information Abstract Research Perspective,"Arnott, David and Pervan, Graham",,data/pdfs/13_11/ArnottPervan2012.pdf
79,P_0000000575,Journal of the Association for Information,"Koh, Tat Koon and Fichman, Mark and Kraut, Robert E",,data/pdfs/13_11/KohFichmanKraut2012.pdf
80,P_0000000227,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Warkentin, Merrill and Walden, Eric and Johnston, Allen C and William, Detmar and Mis, Straub",,data/pdfs/17_3/WarkentinWaldenJohnstonEtAl2016.pdf
80,P_0000000241,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Dennis, Alan R and Minas, Randall K and Lockwood, Nicholas S",,data/pdfs/17_3/DennisMinasLockwood2016.pdf
81,P_0000000517,Journal of the Association for Information,"Chou, Chen-Huei and Sinha, Atish P and Zhao, Huimin",,data/pdfs/11_9/ChouSinhaZhao2010.pdf
81,P_0000000614,Journal of the Association for Information,"Arazy, Ofer and Kumar, Nanda and Shapira, Bracha",,data/pdfs/11_9/ArazyKumarShapira2010.pdf
82,P_0000000582,Journal of the Association for Information Abstract Research Perspective,"Vuorinen, Jukka and Tetri, Pekka",,data/pdfs/13_9/VuorinenTetri2012.pdf
82,P_0000000686,Journal of the Association for Information,"Milton, Simon K and Rajapakse, Jayantha and Weber, Ron",,data/pdfs/13_9/MiltonRajapakseWeber2012.pdf
83,P_0000000298,Journal of the Association for Information,"Choi, Namjoo and Nevo, Saggi",,data/pdfs/16_8/ChoiChengalurSmithNevo2015.pdf
83,P_0000000458,Journal of the Association for Information,"Liu, Gloria H W and Wang, Eric and Eng, Cecil and Chua, Huang",,data/pdfs/16_8/LiuWangChua2015.pdf
84,P_0000000229,Journal of the Association for Information,"Yang, Xue and Tong, Yu and Hock, Hai and Teo",,data/pdfs/16_11/YangTongTeo2015.pdf
84,P_0000000460,Journal of the Association for Information,"Chiu, Chao-Min and Fang, Yu-Hui and Wang, Eric T G and Simon, William E",,data/pdfs/16_11/ChiuFangWang2015.pdf
85,P_0000000092,Journal of the Association for Information Systems Special Issue,"Poole, Marshall Scott and Cummings, Jonathon N",,data/pdfs/9_10/PooleCummings2008.pdf
85,P_0000000657,Journal of the Association for Information Systems Abstract Special Issue,"Markus, M. Lynne and Silver, Mark S and Desanctis, Gerardine and Poole, Marshall Scott and Cummings, Jonathon",,data/pdfs/9_10/MarkusSilver2008.pdf
86,P_0000000587,Journal of the Association for Information,"Junglas, Iris and Goel, Lakshmi and Abraham, Chon and Ives, Blake",,data/pdfs/14_10/JunglasGoelAbrahamEtAl2013.pdf
86,P_0000000648,Journal of the Association for Information,"Rowe, Frantz",,data/pdfs/14_10/deCorbiereRowe2013.pdf
87,P_0000000147,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Tripp, John F and Riemenschneider, Cindy and Thatcher, Jason B and Riemenschneider, Cynthia K",,data/pdfs/17_4/TrippRiemenschneiderThatcher2016.pdf
87,P_0000000257,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Cram, W. Alec and Brohman, Kathryn and Gallupe, R. Brent and Brohman, M. Kathryn",,data/pdfs/17_4/CramBrohmanGallupe2016.pdf
