package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2026-01-22 18:56,baseline,1532,73,20,1653,0.0422943221320973,0.9577056778679026,0.9871134020618556,0.9545171339563864,0.9705416534684828,0:00:12
asreview,2026-01-22 18:56,baseline,1531,203,21,1523,0.1176129779837775,0.8823870220162224,0.9864690721649484,0.8829296424452133,0.9318320146074254,0:00:00
buhos,2026-01-22 19:00,baseline,388,65,1164,1661,0.03765932792584009,0.9623406720741599,0.25,0.8565121412803532,0.3870324189526185,0:03:41
