ID,orig_ID,orig_source,number,volume,title,journal,author,grobid-version,file,ENTRYTYPE,year,doi,note
P_0000000148,0000000148,pdf,2,26,The politics of next generation research: democratizing research-centred computational networks,Journal of Information Technology,"Dutton, William H",lfoppiano/grobid:0.8.1,data/pdfs/26_2/Dutton2011.pdf,article,2011,10.1057/JIT.2011.2,
P_0000000149,0000000149,pdf,2,11,Information systems/technology evaluation practices: evidence from UK organizations,Journal of Information Technology,"A L L A N T I N E, J. A B and G A L L I E R S, R. D and S T R A Y, S. J",lfoppiano/grobid:0.8.1,data/pdfs/11_2/BallantineGalliersStray1996.pdf,article,,,
P_0000000150,0000000150,pdf,3,28,Using grounded theory method in information systems: the researcher as blank slate and other myths,Journal of Information Technology,"Urquhart, Cathy and Ferna ´ndez, Walter",lfoppiano/grobid:0.8.1,data/pdfs/28_3/UrquhartFernandez2013.pdf,article,2013,10.1057/JIT.2012.34,
P_0000000151,0000000151,pdf,1,14,Managing the risks of intranet implementation: an empirical study of user satisfaction,Journal of Information Technology,,lfoppiano/grobid:0.8.1,data/pdfs/14_1/PhelpsMok1999.pdf,article,,,
P_0000000152,0000000152,pdf,1,1,"Igor Aleksander, Editor in Chief",Journal of Information Technology,,lfoppiano/grobid:0.8.1,data/pdfs/1_1/Aleksander1986.pdf,article,,,
P_0000000153,0000000153,pdf,1,33,Beauty-contests in the age of financialization: information activism and retail investor behavior,Journal of Information Technology,"Rickett, Laura and Datta, Pratim",lfoppiano/grobid:0.8.1,data/pdfs/33_1/RickettDatta2018.pdf,article,2016,10.1057/S41265-016-,
P_0000000154,0000000154,pdf,1,2,Continuing Education in Information Technology: National Policy and Problems 1980-85,Journal of Information Technology,"Bryant, Ian",lfoppiano/grobid:0.8.1,data/pdfs/2_1/Bryant1987.pdf,article,,,
P_0000000155,0000000155,pdf,1,26,Managing diverse stakeholders in enterprise systems projects: a control portfolio approach,Journal of Information Technology,"Soh, Christina and Eng, Cecil and Chua, Huang and Singh, Harminder",lfoppiano/grobid:0.8.1,data/pdfs/26_1/SohChuaSingh2011.pdf,article,2010,10.1057/JIT.2010.13,
P_0000000156,0000000156,pdf,4,29,Taking theory too far? A commentary on Avison and Malaurent,Journal of Information Technology,"Silverman, David",lfoppiano/grobid:0.8.1,data/pdfs/29_4/Silverman2014.pdf,article,2014,10.1057/JIT.2014.21,Contents
P_0000000157,0000000157,pdf,4,21,From business process management to business process ecosystem,Journal of Information Technology,"Vidgen, Richard and Wang, Xiaofeng",lfoppiano/grobid:0.8.1,data/pdfs/21_4/VidgenWang2006.pdf,article,,10.1057/PALGRAVE.JIT.2000076,
P_0000000158,0000000158,pdf,4,27,Studying cyborgs: re-examining internet studies as human subjects research,Journal of Information Technology,"Schultze, Ulrike and Mason, Richard O",lfoppiano/grobid:0.8.1,data/pdfs/27_4/SchultzeMason2012.pdf,article,2012,10.1057/JIT.2012.30,
P_0000000159,0000000159,pdf,2,34,The curse of “reference” disciplines,Journal of Information Technology,"Tiwana, Amrit",lfoppiano/grobid:0.8.1,data/pdfs/34_2/Tiwana2019.pdf,article,,10.1177/0268396219834140,
P_0000000160,0000000160,pdf,3,22,'The biggest computer programme in the worldyever!': time for a change in mindset?,Journal of Information Technology,"Clegg, Chris and Shepherd, Craig",lfoppiano/grobid:0.8.1,data/pdfs/22_3/CleggShepherd2007.pdf,article,2007,10.1057/PALGRAVE.JIT.2000103,
P_0000000161,0000000161,pdf,3,6,A critical look at expert systems for business information applications,Journal of Information Technology,"Coats, Pamela K",lfoppiano/grobid:0.8.1,data/pdfs/6_3-4/CoatsPamela1991.pdf,article,,,
P_0000000162,0000000162,pdf,4,12,,Journal of Information Technology,"Bartoli, Andre",lfoppiano/grobid:0.8.1,data/pdfs/12_4/Anonymous1997.pdf,article,,,
P_0000000163,0000000163,pdf,2,22,An empirical investigation into the utilization-based information technology success model: integrating taskperformance and social influence perspective,Journal of Information Technology,"Kim, Changki and Jahng, Jungjoo and Lee, Jinjoo",lfoppiano/grobid:0.8.1,data/pdfs/22_2/KimJahngLee2007.pdf,article,2006,10.1057/PALGRAVE.JIT.2000072,
P_0000000164,0000000164,pdf,1,24,Sponsorship and IT vendor management of projects,Journal of Information Technology,"Liu, Li and Yetton, Philip",lfoppiano/grobid:0.8.1,data/pdfs/24_1/LiuYetton2009.pdf,article,2008,10.1057/JIT.2009.2,
P_0000000165,0000000165,pdf,1,17,Workforce agility: the new employee strategy for the knowledge economy,Journal of Information Technology,"Ka, Rin and Breu, E. M and Ingw, M. and Ark, Str and Athe Rn and Bridge, David",lfoppiano/grobid:0.8.1,data/pdfs/17_1/BreuHemingwayStrathernEtAl2002.pdf,article,,10.1080/02683960110132070,
P_0000000166,0000000166,pdf,4,28,ICT innovation in emerging economies: a review of the existing literature and a framework for future research,Journal of Information Technology,"Xiao, Xiao and Califf, Christopher B and Sarker, Saonee and Sarker, Suprateek",lfoppiano/grobid:0.8.1,data/pdfs/28_4/XiaoCaliffSarkerEtAl2013.pdf,article,2013,10.1057/JIT.2013.20,
P_0000000167,0000000167,pdf,4,30,An integrated environmental perspective on software as a service adoption in manufacturing and retail firms,Journal of Information Technology,"Kung, Leeann and Cegielski, Casey G and Kung, Hsiang-Jui",lfoppiano/grobid:0.8.1,data/pdfs/30_4/KungCegielskiKung2015.pdf,article,2015,10.1057/JIT.2015.14,
P_0000000168,0000000168,pdf,4,12,The Indian software industry: moving towards maturity,Journal of Information Technology,"Ar, S. C Bhatnag and Sh, Irin and Madon",lfoppiano/grobid:0.8.1,data/pdfs/12_4/BhatnagarMadon1997.pdf,article,,,
P_0000000169,0000000169,pdf,3,21,Knowledge: climbing the learning ladder to a 'phenomenological' view,Journal of Information Technology,"Resca, Andrea",lfoppiano/grobid:0.8.1,data/pdfs/21_3/Resca2006.pdf,article,2006,10.1057/PALGRAVE.JIT.2000068,
P_0000000170,0000000170,pdf,3,34,Trusting e-voting amid experiences of electoral malpractice: The case of Indian elections,Journal of Information Technology,"Avgerou, Chrisanthi and Masiero, Silvia and Poulymenakou, Angeliki",lfoppiano/grobid:0.8.1,data/pdfs/34_3/AvgerouMasieroPoulymenakou2019.pdf,article,,10.1177/0268396218816199,
P_0000000171,0000000171,pdf,4,8,,Journal of Information Technology,"Brown, Ann",lfoppiano/grobid:0.8.1,data/pdfs/8_4/Brown1993a.pdf,article,1994,,
P_0000000172,0000000172,pdf,3,22,A computer scientist's reactions to NPfIT,Journal of Information Technology,"Randell, Brian",lfoppiano/grobid:0.8.1,data/pdfs/22_3/Randell2007.pdf,article,2007,10.1057/PALGRAVE.JIT.2000106,
P_0000000173,0000000173,pdf,4,27,Problems with solutions seeking problems: debating ICT for development,Journal of Information Technology,"Westrup, Chris",lfoppiano/grobid:0.8.1,data/pdfs/27_4/Westrup2012.pdf,article,2012,10.1057/JIT.2012.24,
P_0000000174,0000000174,pdf,3,6,A user-satisfaction approach to IS effectiveness measurement,Journal of Information Technology,"Remenyi, Dan and Money, Arthur",lfoppiano/grobid:0.8.1,data/pdfs/6_3-4/RemenyiMoney1991a.pdf,article,,,
P_0000000175,0000000175,pdf,4,35,A 'conversation' between Frank Land (FL) and Antony Bryant (AB): PART I,Journal of Information Technology,"Bryant, Antony and Land, Frank",lfoppiano/grobid:0.8.1,data/pdfs/35_4/BryantLand2020.pdf,article,,10.1177/0268396220908274,
P_0000000176,0000000176,pdf,4,35,How do offshoring-related changes in job characteristics affect onshore managers' affective organizational commitment? The moderating role of perceived organizational valence,Journal of Information Technology,"Zimmermann, Angelika and Lioliou, Eleni and Oliveira, João S",lfoppiano/grobid:0.8.1,data/pdfs/35_4/ZimmermannLioliouOliveiraEtAl2020.pdf,article,,10.1177/0268396220942237,
P_0000000177,0000000177,pdf,2,33,The digital platform: a research agenda,Journal of Information Technology,"De Reuver, Mark and Sørensen, Carsten and Basole, Rahul C",lfoppiano/grobid:0.8.1,data/pdfs/33_2/deReuverSorensenBasole2018.pdf,article,2017,10.1057/S41265-,
P_0000000178,0000000178,pdf,1,25,Design theory for dynamic complexity in information infrastructures: the case of building internet,Journal of Information Technology,"Hanseth, Ole and Lyytinen, Kalle",lfoppiano/grobid:0.8.1,data/pdfs/25_1/HansethLyytinen2010.pdf,article,,10.1057/JIT.2009.19,
