package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
未优化性能 
bib-dedupe,2026-01-23 23:31,mixed,1539,5,251,943,0.0052742616033755,0.9947257383966244,0.8597765363128491,0.996761658031088,0.9232153569286142,0:00:08
asreview,2026-01-23 23:31,mixed,1417,8,373,940,0.0084388185654008,0.9915611814345991,0.7916201117318435,0.9943859649122808,0.8814930015552098,0:00:00
buhos,2026-01-23 23:33,mixed,130,1,1660,947,0.0010548523206751054,0.9989451476793249,0.07262569832402235,0.9923664122137404,0.1353461738677772,0:02:49
