cluster_id,id,title,author,doi
0,P_0000000141,Journal of the Association for Information,"Lowry, Paul Benjamin and Gaskin, James Eric and Moody, Gregory D",
0,P_0000000406,Journal of the Association for Information Research Article,"Grgecic, Daniel and Holten, Roland and Rosenkranz, Christoph",
0,P_0000000647,Journal of the Association for Information Research Article,"Windeler, Jaime B and Maruping, Likoebe M and Robert, Lionel P and Davidson, Elizabeth and Riemenschneider, Cynthia K",
1,P_0000000151,Journal of the Association for Information,"Parsons, Jeffrey and Wand, Yair",
1,P_0000000178,Journal of the Association for Information,"Grover, Varun and Nicholas, *.",
1,P_0000000313,Journal of the Association for Information,"Yoo, Youngjin",
1,P_0000000695,Journal of the Association for Information,"Osterwalder, Alexander and Pigneur, Yves and Nicholas, *.",
2,P_0000000022,Journal of the Association for Information,"Vance, Anthony and Anderson, Bonnie Brinton and Kirwan, C. Brock and Eargle, David",
2,P_0000000228,Journal of the Association for Information Special Issue,"Léger, Pierre-Majorique and Montréal, Hec and Sénecal, Sylvain and Ortiz De Guinea, Ana and Titah, Ryad and Fredette, Marc and Research, Systems",
2,P_0000000249,Journal of the Association for Information,"Hill, Kevin and Ortiz De Guinea, Ana and Thatcher, Jason and Grover, Varun and Tams, Stefan",
2,P_0000000585,Journal of the Association for Information,"Riedl, René and Davis, Fred D and Hevner, Alan R and Barki, Henri and Chatterjee, Samir and Dennis, Alan and Gefen, David and Léger, Pierre-Majorique and Randolph, Adriane and Walden, Eric and Walton, Sam M",
3,P_0000000388,Journal of the Association for Information,"Rivard, Suzanne and Montreal, Hec and Lapointe, Liette and Kappos, Antonio and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
3,P_0000000523,Journal of the Association for Information,"Singh, Rajendra and Mathiassen, Lars and Stachura, Max E and Astapova, Elena V and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
3,P_0000000588,Journal of the Association for Information,"Feldman, Sue S and Horan, Thomas A and Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu",
3,P_0000000621,Journal of the Association for Information,"Payton, Fay Cobb and Paré, Guy and Lerouge, Cynthia and Reddy, Madhu and Considerations, Interdisciplinary",
4,P_0000000316,Journal of the Association for Information,"Grytten, Petter and Østerlie, Thomas and Haavik, Torgeir Kolstø",
4,P_0000000376,Journal of the Association for Information,"Kaniadakis, Antonios and Constantinides, Panos",
4,P_0000000552,Journal of the Association for Information,"Ribes, David and Polk, Jessica Beth and Monteiro, Eric",
5,P_0000000670,Journal of the Association for Information,"Figl, Kathrin and Mendling, Jan and Strembeck, Mark",
5,P_0000000682,Journal of the Association for Information,"Vessey, Iris and Ward, Kerry",
6,P_0000000204,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Warkentin, Merrill and Goel, Sanjay and Menard, Philip",
6,P_0000000357,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Wu, Yi and Choi, Ben and Guo, Xitong and Klarissa, Ting-Ting and Chang",
6,P_0000000507,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Molnar, Wolfgang Alfred and Nandhakumar, Joe and Stacey, Patrick",
7,P_0000000170,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Shafiq Khan, Sarah and Zhao, Kexin and Kumar, Ram L and Stylianou, Antonis and Khan, Sarah S and Kong, Hong and Zhao, Taiwan Kexin",
7,P_0000000266,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Arazy, Ofer and Kopak, Rick and Hadar, Irit",
8,P_0000000048,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Bernardi, Roberta and Constantinides, Panos and Nandhakumar, Joe",
8,P_0000000278,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Salehan, Mohammad and Kim, Dan J and Kim, Changsu",
8,P_0000000304,J ournal of the A I S ssociation for nformation ystems,"Paper, Research and Xu, David Jingjun and Abdinnour, Sue and Chaparro, Barbara",
9,P_0000000457,Journal of the Association for Information,"Kaganer, Evgeny and Pawlowski, Suzanne D and Wiley-Patton, Sonja",
9,P_0000000541,Journal of the Association for Information,"Jiang, Zhenhui and Chan, Jason and Tan, Bernard C Y and Siong Chua, Wei",
10,P_0000000583,Journal of the Association for Information,"Wagner, Erica L and Newell, Sue and Piccoli, Gabriele",
10,P_0000000589,Journal of the Association for Information,"Appan, Radha and Browne, Glenn J",
