package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2026-01-22 18:25,baseline,1579,5,10,2106,0.0023685457129322,0.9976314542870678,0.9937067337948396,0.9968434343434344,0.995272612669398,0:00:11
asreview,2026-01-22 18:25,baseline,231,202,1358,1909,0.0956892468024632,0.9043107531975368,0.145374449339207,0.5334872979214781,0.2284866468842729,0:00:00
buhos,2026-01-22 18:29,baseline,229,10,1360,2101,0.0047370914258645,0.9952629085741356,0.1441157960981749,0.9581589958158996,0.25054704595186,0:03:35
bib-dedupe,2026-01-30 10:58,baseline,1579,5,10,2106,0.0023685457129322,0.9976314542870678,0.9937067337948396,0.9968434343434344,0.995272612669398,0:00:11
asreview,2026-01-30 10:58,baseline,231,202,1358,1909,0.0956892468024632,0.9043107531975368,0.145374449339207,0.5334872979214781,0.2284866468842729,0:00:00
buhos,2026-01-30 11:02,baseline,229,10,1360,2101,0.0047370914258645196,0.9952629085741355,0.14411579609817496,0.9581589958158996,0.25054704595186,0:03:43
