package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2026-01-23 11:23,baseline,1060,1158,2,1364,0.4591593973037272,0.5408406026962728,0.9981167608286252,0.4779080252479711,0.6463414634146342,0:00:15
asreview,2026-01-23 11:23,baseline,1059,931,3,1591,0.3691514670896114,0.6308485329103886,0.9971751412429378,0.5321608040201005,0.6939711664482306,0:00:00
buhos,2026-01-23 11:27,baseline,202,698,860,1824,0.2767644726407613,0.7232355273592387,0.1902071563088512,0.22444444444444445,0.20591233435270132,0:03:57
