package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
未优化性能 
bib-dedupe,2026-01-23 23:28,pdf_only,7,138,6,777,0.1508196721311475,0.8491803278688524,0.5384615384615384,0.0482758620689655,0.0886075949367088,0:00:04
asreview,2026-01-23 23:28,pdf_only,12,238,1,677,0.2601092896174863,0.7398907103825136,0.9230769230769232,0.048,0.091254752851711,0:00:00
buhos,2026-01-23 23:28,pdf_only,1,46,12,869,0.05027322404371585,0.9497267759562842,0.07692307692307693,0.02127659574468085,0.03333333333333333,0:00:00
