dataset,time,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
baseline,2026-01-22 18:08,1532,73,20,1653,0.0422943221320973,0.9577056778679026,0.9871134020618556,0.9545171339563864,0.9705416534684828,0:00:14
pdf_only,2026-01-22 18:08,0,18,0,1603,0.0111042566317088,0.9888957433682912,0.0,0.0,0.0,0:00:04
mixed,2026-01-22 18:09,2969,122,153,1655,0.0686550365785031,0.9313449634214968,0.9509929532351056,0.9605305726302168,0.9557379687751488,0:00:17
pdf_only,2026-01-24 21:56,0,24,0,1597,0.014805675508945,0.9851943244910548,0.0,0.0,0.0,0:00:04
pdf_only,2026-01-24 22:03,0,18,0,1603,0.011104256631708822,0.9888957433682912,0.0,0.0,0.0,0:00:05
