package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
bib-dedupe,2025-09-16 14:37,mixed,3221,23,105,2025,0.01123046875,0.98876953125,0.9684305472038484,0.9929099876695436,0.9805175038051752,0:00:52
bib-dedupe,2025-09-16 14:38,mixed,3221,23,105,2025,0.01123046875,0.98876953125,0.9684305472038484,0.9929099876695436,0.9805175038051752,0:00:33
asreview,2025-09-16 14:38,mixed,2216,123,1110,1925,0.06005859375,0.93994140625,0.6662657847263981,0.9474134245404019,0.7823477493380405,0:00:00
