tool,TP,FP,FN,TN,runtime,false_positive_rate,specificity,sensitivity,precision,f1,dataset
bib-dedupe,0,16,1,1870,0:00:43,0.008483563096500531,0.9915164369034994,0.0,0.0,0.0,bib_dedupe_details
asreview,0,51,1,1835,0:00:00,0.02704135737009544,0.9729586426299046,0.0,0.0,0.0,asreview_details
