package,time,dataset,TP,FP,FN,TN,false_positive_rate,specificity,sensitivity,precision,f1,runtime
未优化性能 
bib-dedupe,2026-01-23 22:42,baseline,870,1,3,936,0.0010672358591248,0.9989327641408752,0.9965635738831616,0.9988518943742823,0.9977064220183488,0:00:06
asreview,2026-01-23 22:42,baseline,673,0,200,937,0.0,1.0,0.7709049255441008,1.0,0.8706338939197931,0:00:00
buhos,2026-01-23 22:45,baseline,79,1,794,936,0.0010672358591248667,0.9989327641408752,0.09049255441008018,0.9875,0.16579223504721932,0:03:17
